close,date,high,interest_over_time_AU,interest_over_time_BR,interest_over_time_CA,interest_over_time_CN,interest_over_time_DE,interest_over_time_FR,interest_over_time_GB,interest_over_time_GH,interest_over_time_IN,interest_over_time_JP,interest_over_time_KE,interest_over_time_KR,interest_over_time_NG,interest_over_time_RU,interest_over_time_SG,interest_over_time_US,interest_over_time_VE,interest_over_time_ZA,low,num_retweets,num_tweets,open,tweet_exposure,volume_from,volume_to
672.14,2018-03-09 08:00:00,682.24,30.0,41.0,46.0,53.0,42.0,29.0,76.0,20.0,66.0,27.0,17.0,61.0,41.0,33.0,31.0,65.0,0.0,36.0,668.4,11000.0,10600.0,674.77,43817700.0,25641.83,17284416.11
660.61,2018-03-09 09:00:00,673.97,31.0,12.0,45.0,50.0,46.0,52.0,62.0,16.0,61.0,29.0,21.0,53.0,36.0,30.0,29.0,57.0,15.0,32.0,655.61,11600.0,12100.0,672.14,50350500.0,23111.05,15371267.84
675.23,2018-03-09 10:00:00,676.27,32.0,12.0,47.0,45.0,46.0,45.0,54.0,7.0,65.0,19.0,18.0,33.0,34.0,28.0,23.0,62.0,45.0,50.0,655.95,12000.0,9600.0,660.74,30454600.0,17282.06,11559393.56
686.12,2018-03-09 11:00:00,686.14,38.0,15.0,50.0,61.0,44.0,43.0,57.0,6.0,56.0,28.0,9.0,46.0,37.0,31.0,27.0,53.0,25.0,36.0,671.62,12000.0,9600.0,675.23,30454600.0,17884.46,12130499.48
696.12,2018-03-09 12:00:00,697.01,43.0,10.0,34.0,68.0,39.0,31.0,46.0,0.0,63.0,36.0,6.0,21.0,18.0,33.0,29.0,45.0,16.0,36.0,686.09,12000.0,9600.0,686.17,30454600.0,21410.28,14780002.07
692.03,2018-03-09 13:00:00,697.36,47.0,12.0,28.0,64.0,36.0,31.0,41.0,20.0,59.0,25.0,3.0,37.0,22.0,42.0,20.0,39.0,19.0,34.0,686.2,12000.0,9600.0,696.32,30454600.0,15306.61,10583181.58
710.11,2018-03-09 14:00:00,710.12,48.0,16.0,24.0,47.0,35.0,38.0,41.0,14.0,54.0,14.0,9.0,39.0,18.0,33.0,30.0,31.0,14.0,30.0,691.75,12000.0,9600.0,692.01,30454600.0,26856.59,18905179.49
698.65,2018-03-09 15:00:00,711.41,58.0,14.0,26.0,62.0,36.0,26.0,37.0,20.0,36.0,16.0,10.0,25.0,20.0,34.0,33.0,29.0,30.0,38.0,692.14,12000.0,9600.0,710.1,30454600.0,28692.77,20104011.2
683.88,2018-03-09 16:00:00,705.64,51.0,12.0,24.0,23.0,36.0,33.0,38.0,7.0,42.0,42.0,20.0,34.0,34.0,31.0,44.0,29.0,17.0,38.0,681.05,12000.0,9600.0,698.65,30454600.0,30831.63,21289360.71
688.23,2018-03-09 17:00:00,695.54,78.0,16.0,23.0,0.0,41.0,30.0,38.0,7.0,37.0,19.0,6.0,31.0,21.0,25.0,38.0,29.0,16.0,28.0,682.55,12000.0,9600.0,683.88,30454600.0,17966.91,12405642.6
696.94,2018-03-09 18:00:00,700.54,36.0,14.0,25.0,15.0,41.0,29.0,36.0,0.0,36.0,26.0,16.0,23.0,36.0,33.0,22.0,28.0,19.0,31.0,687.73,12000.0,9600.0,688.23,30454600.0,17503.56,12174606.56
689.58,2018-03-09 19:00:00,697.43,53.0,13.0,22.0,50.0,29.0,25.0,27.0,8.0,61.0,24.0,13.0,35.0,14.0,37.0,28.0,30.0,12.0,27.0,680.22,12000.0,9600.0,697.09,30454600.0,15894.66,10902331.69
697.2,2018-03-09 20:00:00,698.92,81.0,11.0,23.0,0.0,34.0,25.0,28.0,22.0,48.0,0.0,12.0,24.0,20.0,47.0,30.0,29.0,22.0,36.0,687.33,12000.0,9600.0,689.45,30454600.0,14475.4,10021760.59
699.6,2018-03-09 21:00:00,704.3,44.0,13.0,20.0,0.0,42.0,18.0,25.0,7.0,86.0,34.0,8.0,26.0,23.0,42.0,32.0,26.0,17.0,41.0,692.84,12000.0,9600.0,697.2,30454600.0,23541.32,16442643.53
711.5,2018-03-09 22:00:00,711.51,42.0,17.0,20.0,0.0,42.0,24.0,27.0,7.0,70.0,10.0,13.0,22.0,19.0,34.0,17.0,27.0,16.0,18.0,696.54,12000.0,9600.0,699.7,30454600.0,13746.18,9690767.01
726.92,2018-03-09 23:00:00,730.46,35.0,9.0,17.0,84.0,47.0,30.0,33.0,0.0,62.0,3.0,34.0,30.0,23.0,60.0,30.0,25.0,18.0,11.0,710.59,12000.0,9600.0,711.5,30454600.0,26849.52,19366274.6
